t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.465000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.014903,0.450000,-0.014903,0.000469,-0.312326,0.643108,-0.075387,-0.125211,3.380358,-41.116069,0.516935,5.981587,31.515589,-19.397895,0.137915,-898.549686,0.438740
0.470000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.015205,0.450000,-0.015205,0.007435,-0.309403,0.636882,-0.075786,-0.126519,3.383693,-41.139540,0.517094,6.038224,31.516529,-19.604911,0.140500,-898.519636,0.438119
0.475000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.015510,0.450000,-0.015510,0.014305,-0.305103,0.630365,-0.076151,-0.127811,3.386995,-41.163044,0.516945,6.096940,31.529871,-19.812045,0.143085,-898.489299,0.432865
0.480000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.015817,0.450000,-0.015817,0.021185,-0.304182,0.623614,-0.076481,-0.129090,3.390264,-41.187620,0.516694,6.152230,31.505663,-20.019300,0.145669,-898.458676,0.440429
0.485000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.016128,0.450000,-0.016128,0.028064,-0.303375,0.616590,-0.076776,-0.130367,3.393499,-41.212848,0.516181,6.207079,31.548261,-20.226681,0.148251,-898.427777,0.445329
0.490000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.016441,0.450000,-0.016441,0.035123,-0.301113,0.609218,-0.077036,-0.131639,3.396698,-41.238014,0.515442,6.262672,31.594437,-20.434188,0.150830,-898.396603,0.443776
0.495000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.016757,0.450000,-0.016757,0.042389,-0.300780,0.601517,-0.077259,-0.132906,3.399859,-41.263921,0.514542,6.315795,31.648024,-20.641824,0.153405,-898.365157,0.449459
0.500000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.017075,0.450000,-0.017075,0.049773,-0.299011,0.593581,-0.077444,-0.134170,3.402982,-41.289845,0.513442,6.369549,31.688949,-20.849590,0.155975,-898.333443,0.448757
0.505000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.017396,0.450000,-0.017396,0.057224,-0.297101,0.585416,-0.077591,-0.135427,3.406064,-41.315980,0.512139,6.423372,31.752132,-21.057488,0.158539,-898.301461,0.447936
0.510000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.017720,0.450000,-0.017720,0.064595,-0.297557,0.576888,-0.077699,-0.136684,3.409104,-41.342988,0.510702,6.473721,31.818817,-21.265519,0.161096,-898.269218,0.456053
